"","clean_tweet","Subjectivity","polarity","Analysis"
"76","tul udah gitu gilir prancis diving langsung kasih kartu kuning thuram gilir cek var aja kagak coba cek var layak mbappe dkk 2x untun pildun mending bakar aja sekali ruang var sampah masyarakat","0","0","Neutral"
"77","hasil pildun dah cair nih ayok nato","0","0","Neutral"
"78","kocakk jadi patok menang pildun gantung main club apa gt","0.33333333333333","0.16666666666667","Positive"
"79","bangsa kolombia rakyat nya gak ada pernah megang pildun nya ngiri","0","0","Neutral"
"80","kondisi tugu pahlawan indonesia juara pildun misale","0","0","Neutral"
"81","gol minimal apa daya cuma biji gol cetak bang do lama pildun","0.6","-0.1","Negative"
"82","sisa pildun gabisa ilang blum bisa tidur jam gin","0","0","Neutral"
"83","finally safe to tweet at this hour gak ada orang soal pildun udah kelar","0.5","0.5","Positive"
"84","agak susah reset pola tidur beres pildun","0","0","Neutral"
"85","rehat pildun wkwkwk","0","0","Neutral"
"86","pe mbappe wes talah ojok mbesengut ngono awak iki jek enom 24 tahun bales pildun ngarep pe","0","0","Neutral"
"87","pilpres sama pildun seru mana yak","0","0","Neutral"
"88","julid amat akun sini fb ig kaya panas amat messi bs dpt pildun sdgkan dodo gbs messi 2x masuk final 2x liat lsg piala nya 1x bs pegang cium angkat hore rame tp dodo tdk prnh bs dr segi gol dr segi prestasi messi unggul","1","0","Neutral"
"89","jg abis bilang gin ama temen gegara bikin story pas final pildun kemaren lu ko tiba2 suka messi aja jawab anjir uda lama emng perlu apa2 kalo suka trs public anjir bgt pdhl dah jaman messi barca cowo btw","0.53333333333333","0","Neutral"
"90","mau balik awal pildun baru mulai mau langsung taruh 99999999999999999999999999999 triliun milih argentina terus","0","0","Neutral"
"91","semua karna pildun rusak jam tidur","0","0","Neutral"
"92","putus kutu alias emg udah cocok jd lautaro pea pildun kemarin","0","0","Neutral"
"93","sejak liga udah padat pildun undur gara gara covid jadi gak ada waktu ada piala konfederasi","0","0","Neutral"
"94","hasil pildun kemarin yaa perut buncit gara konsumsi uang haram","0","0","Neutral"
"95","hari final uda post tu megang pildun ngadi2 ni berita","1","0","Neutral"
"96","lahhhh pildun syuda kelar","0","0","Neutral"
"97","eusebio jangan lupa leting nya sir bobby charlton jaman pildun 1966","0","0","Neutral"
"98","siap salah kak hypenya pas pildun doang emang ntar aff hypenya pas aff doang siap salah kok biar si paling suhu bola neng ygy","0","0","Neutral"
"99","debat kaka adik krn beda dukung pildun","0","0","Neutral"
"100","apa mau harap kaum 1908blok iyain aja udah soal main beban semua pildun buat ngehibur diri aja kesi","0.33333333333333","0.16666666666667","Positive"
"101","kiper baik panjang pildun","0","0","Neutral"
"102","udah neng menang taruh pildun eh malah diingetin kalah klub sayang","0","0","Neutral"
"103","sedih tahun ayah ga sehat pildun belum tp senang udh jadi onty ponakan mirip mirip tahun 2010 ramenya messi ronaldo tahun akhir main","0.33333333333333","0.16666666666667","Positive"
"104","iya iya bang lu udah tua udah lihat prancis juara pildun kali saking biasa prancis menang pildun lanjut paling lu mending tidur ga perlu nonton karna udah saking biasa hmm","0","0","Neutral"
"105","momen pildun 2002 ulang","0","0","Neutral"
"106","tetap mahal kulit ayam impor langsung prancis kemarin baru ada pildun prancis kalah jadi harga naik perintah kecewa","0","0","Neutral"
"107","pildun tlah selesai sekarang waktu pikir gmana cara henti","0","0","Neutral"
"108","pdhl rakyat argentina dah doain kalah loh inflasi tinggi 72 tutup menang pildun","0","0","Neutral"
"109","kykny emg bliau lgi sibuk kuliah sampe ga ikut nonton pildun kemaren smngt kuliah papa ddongsik","0","0","Neutral"
"110","kalo nanyangin pildun kmrn rcti bisa jadi ada neh gimmick kek gin pake master joe sandy","0","0","Neutral"
"111","ronaldo nazario de lima boyong madrid inter moncer gol pildun 2002 jelma sbg roh los galacticos juara la liga sama intercontinental","0","0","Neutral"
"112","mbappe gendong satu negara main beringas bener agak sakit liat ujung2ny kalah jg lebih sakit liat govt argentina lebih sibuk ngurusin pildun pdhl negara hampir hiperinflasi","0.33333333333333","0.16666666666667","Positive"
"113","final pildun apa perlu macam true sight","0.825","0.175","Positive"
"114","timnas prancis punya track record buruk soal hub ruang ganti main ingat pildun 2010 prancis latih domenech dmn ruang ganti kacau balau gara2 latih main konflik klo mau adem bujuk zidane latih prancis spesialis nurunin ego2 main bsr","0.33333333333333","0.16666666666667","Positive"
"115","closingan pildun","0","0","Neutral"
"116","ko balik jdi 23 main lgi pildun aja ttep 26 main why","0.33333333333333","0.16666666666667","Positive"
"117","mulai hitung beberapa tahun belakang bukan ngandelin pas pildun doang","0","0","Neutral"
"118","aaaaa sepi bngtt ngerasa sepi pas pildun kelarrr pdhl ngalihin kabar jin wamil karna pildun tp udh selesaiii","0","0","Neutral"
"119","panjang cing intinye die nonton bola udeh lama terus temen temennye nonton bola pas pildun hype kasih tau mane aje main bola ganteng","0.33333333333333","0.16666666666667","Positive"
"120","solusi instan biar ga ot nonton siar ulang final pildun","1","0","Neutral"
"121","trauma nge rt2 inget banget lg nge rt nnton pildun tiba2 akun keluar sendiri","0","0","Neutral"
"122","loh blm tdr udah gada pildun","0","0","Neutral"
"123","tunggu hari libur nasional indonesia karna indo juara pildun","0","0","Neutral"
"124","semenjak pildun kerja begadang aja gatau besok aktifitas padat","0","0","Neutral"
"125","ada debatin goat instagram lama pildun aguerokuntul semenjak jadi anggur jadi keyboard warrior","0","0","Neutral"
"126","soale pildun nya udahan","0","0","Neutral"
"127","kalau gelar tim gak bisa jadi tolak ukur messi bisa dapet pildun 10 main dukung coba 2014 coba mbape solo rank ronaldo cuma main babak dua","0.52222222222222","-0.15555555555556","Negative"
"128","kocak pasang foto kalah taroan menang pildun","0","0","Neutral"
"129","chelsea menang atas brentford laga sahabat tutup main laga pildun akademi libat havertz kabar cetak hat trick cfc","0.33333333333333","0.16666666666667","Positive"
"130","finally aja sampe sekarang ikut neng mreka negara sendiri prasaan beberapa hari kemarin pantengin latih argentina yutub lama pildun skrg hilang world cup baik gracias","1","0","Neutral"
"131","aamiin yaallah we jangan2 2026 nonton pildun langsung manifesting","0","0","Neutral"
"132","pildun udah kelar apa yaa","0","0","Neutral"
"133","the best final world cup qatar 2022 the best euforia world cup south africa 2010 merch pildun minimarket ges siga marjan jeng kurma bulan puasa rea","0.53333333333333","0.66666666666667","Positive"
"134","bom bs move on pildun","0","0","Neutral"
"135","persijaday mbappe japota ditto parfum tahan lama 2023 prancis ikon bobo chanyeol pildun vanilla rudy train messi beef aries cektokosebelah2 time after time avatar twice 2nd english single murah skincare bodycare bodymist rekomendasi murmer wangi nyebar","0.071428571428571","-0.023809523809524","Negative"
"136","semenjak isu lgbtqi naik daun kemaren pas pildun kakak sama bapak jd sering bahas2 lgbtqi langsung speechless kalo denger gaberani gabisa berkata2","0","0","Neutral"
"137","ancen seng model ngunu iku gateli mbak nji ket neng pildun grgr neymar ae bacot cok jarene sok ngerti pildun","0","0","Neutral"
"138","wal info nobar pildun","0","0","Neutral"
"139","negara tanding pildun masa lu ga tau","0","0","Neutral"
"140","emang kalo misal ada orang ngikutin pildun doang salah ato kenapa2 gttt","0","0","Neutral"
"141","opsi permanenin anelka beli el hadji diouf liverpool buat putus salah salif diao beli abis pildun 2002 flop","0","0","Neutral"
"142","kalau tdk benah kamboja bisa lebih duluan masuk pildun banding indo","0","0","Neutral"
"143","milih krosia dendam brazil usir ucing milih maroko karna salut milih prancis karna mbappe asli kenang pildun 2022","0","0","Neutral"
"144","efek begadang hari gegara pildun","0","0","Neutral"
"145","belum move on sama pildun nih biasa pulang kerja langsung idupin tipi sampe subuh ngemilin ada dapur sampe ngantuk","0","0","Neutral"
"146","tau gavi fyp ig reels nonton pildun krn emg gntenk","0","0","Neutral"
"147","gada pildun jadi hampa","0","0","Neutral"
"148","kasih tau fakta aja malah ngak starts fansnya heboh sendiri padahal aja ngeroast messi kalah laga awal pildun","0","0","Neutral"
"149","bisa nya event kelas pildun tim main bisa masukin staff dada","0.33333333333333","0.16666666666667","Positive"
"150","ga ada pildun gabut ga ada tonton","0","0","Neutral"
"151","pildun emang ga punya kontribusi","0","0","Neutral"
"152","udah sepi tambah pildun udh selesai hadeh","0","0","Neutral"
"153","pas bocil bgt 18 tahun ikut pildun tp gitulah mu suka fomo kalau beli main makanya flop semua","0.33333333333333","0.16666666666667","Positive"
"154","pildun 2006 skuad argentina selalu lbh baik kecuali pildun 2022 knp org ngedebat karna salah paham kira compare skuad portugal sama norway","0","0","Neutral"
"155","ga bela lautaro main gabagus tpi sendiri ngakuin kalo buruk pildun thn klo euforia menang wajar2 aja","0.33333333333333","0.16666666666667","Positive"
"156","kasih fakta emang ngak main final kok bukan ngak main seluruh match pildun makanya baca bener mas situ pake kacamata harus","0.55555555555556","0.11111111111111","Positive"
"157","ngetwit messi aja kmrn pas final pildun doang","1","0","Neutral"
"158","kasihan adminnya agak stress demit gblo tlol ucl disamain pildun","0","0","Neutral"
"159","kurang seru apa coba final pildun 2022","1","0","Neutral"
"160","kmren abs nonton pildun trs skrng dsuruh nonton liga lawak maless skip aja buat hal2 lbih guna","0","0","Neutral"
"161","malah bosen cuk tiap malem nungguin pildun sekarang udah gada","0","0","Neutral"
"162","walah tiwas wing tuku kok yo mbagine bar pildun to bro","0","0","Neutral"
"163","ozil khedira pas datang real madrid pildun 2010 terus ada ton kroos didatengin real madrid pildun 2014","0.3","0.2","Positive"
"164","qatar nonton pildun","0","0","Neutral"
"165","sellernya abis menang taruh pildun kek nder","0","0","Neutral"
"166","next pildun pas peaknya mbappe harus","0","0","Neutral"
"167","huru hara pildun kemaren wkwkwkw","0","0","Neutral"
"168","enak banget jadi fans messi klo debat tinggal bilang minimal balon dor minimal pildun minimal jadi main baik piala dunia haha","0.48666666666667","0.013333333333333","Positive"
"169","11 12 ama bilang cewe suka bola pildun doang","0","0","Neutral"
"170","ni org main kualifikasi pildun paling ngga","0.33333333333333","0.16666666666667","Positive"
"171","fans circustiano runaldut dr awal pildun jadi suporter dada mexico poland australia belanda croatia prancis telor dapet apa","0","0","Neutral"
"172","hari berita berita putar masa depan conte jujur agak sedikit depressing baca bawa euforia bahagia pildun jd blm mood sharing ulang berita2 conte","0.9","-0.6","Negative"
"173","negara kok ga pernah ajak pildun","0","0","Neutral"
"174","perlu simpan data bahan tebak tebak pildun ikut","0","0","Neutral"
"175","uang bonus pildun cairrr","0","0","Neutral"
"176","cuma mau ngingetin kalo prancis kalah final pildun siapa tau lupa","1","0","Neutral"
"177","lolosin goal paling banyak argentina qatar siapa emang tonali bikin gagal pildun menang adu pinalti besar lawan belanda siapa create goal argentina siapa","0","0","Neutral"
"178","liat foto messi angkat tropy pildun sllu aja ingat sama ter siu siu","0","0","Neutral"
"179","pildun kok udah selesai aja","0","0","Neutral"
"180","tergemoy spanjang pildun","0","0","Neutral"
"181","tbh kl gk gara2 ozil gk bakal nonton pildun 2010 krn kepo tengah gila sm ozil akhir terus nonton pildun euro emg sengaja gk ngikutin club krn asli banyak bingung sendiri tp skrng mo ngikutin barca krn mau liat gavi lbh lama bahkan pgn beli jersey ori","0","0","Neutral"
"182","viral nobar pildun ujung mesum cek kumpul bokp viral baru bokep indo viral baru vidio indonesia colmek sange aaaaaaaaaah terlanjurcinta gaduasange link full vidio ada profil bio","0.55","0.35","Positive"
"183","genuinely wondering gimana hasil rasa nyetak gol pildun","0.5","0.4","Positive"
"184","kamar pas pildun nu judi loba nu ngaromongken parlay full senyum all in argen pas tanya maen naon ft ht atawa maen voor emng ods na baraha teuing atuh","0.55","0.35","Positive"
"185","penaldo mampu nyusul pildun engga","0","0","Neutral"
"186","pildun 2026 nnt misuh2 lg nnt misuh2in cara main dybala alvarez molina paredes de paul dkk","0.33333333333333","0.16666666666667","Positive"
"187","viral nobar pildun ujung mesum cek kumpul bokp viral baru bokep indo viral baru vidio indonesia colmek sange aaaaaaaaaah terlanjurcinta gaduasange link full vidio ada profil bio","0.55","0.35","Positive"
"188","ki gagamaru nak maen ning pildun iso intok golden glove cokk","0.5","0.3","Positive"
"189","orang sumatra first time beli jajan jawa mas nya nanya pake bumbu apa mbak jawab pake saos aja mas mas nya jawab gk ada mbak bumbu nya bubuk pedas manis balado malu banget njir norak banget","0.33333333333333","0.25","Positive"
"190","org mikirnya cewe suka bola cuma caper emg caper siapa kalo caper ngga bakal sampe nang pas messi menang pildun kemaren udah kelas tauk ngikutin bola tu tahan caper lama 12 tahun","0","0","Neutral"
"191","kemaren nontonin pildun terus hari liat cuplik aff rasa banget timpang","0","0","Neutral"
"192","it supposed to be him juli alvarez padahal ngasih gol solo dgn sempurna lg dr assist messi tp waktu match sm croatia malah messi jd player of the match bukan gmn2 but he deserves it harus jg keren bgt pildun pertama pdhal baru 22 tahun","0","0","Neutral"
"193","kurang tau info dapat hilang 13 tahun sstelah brazil juara pildun tiga kali semenjak taun 2006 udah kasih piala replika walao dah juara 3x pildun","0","0","Neutral"
"194","dah kalau panjang umur tahun 2026 pildun dukung jerman italia aja","0","0","Neutral"
"195","dah kalau panjang umur dirahun 2026 pildun dukung jerman italia aja","0","0","Neutral"
"196","hahaha ronaldo pildun 2002 waktu brasil jadi juara om iwa","0.4","0.2","Positive"
"197","untung pildun udh kelar duluan","0","0","Neutral"
"198","cuma sekali ngecek var asa kalo nonton match2 pildun tiap penalty mesti cek var dulu","0","0","Neutral"
"199","njir typo luncur gk lunas sip kamay kabar aja klo senggang","0","0","Neutral"
"200","akhir udh egk pildun","0","0","Neutral"
"201","lagu pildun tahun emang candu bgtt","0","0","Neutral"
"202","sama seru pildun 2022 dpc","0","0","Neutral"
"203","gak ada lebih random dosen ngasih tugas bikin paper kena dapat qatar jadi tuan rumah pildun bikin halaman halaman","0.5","-0.5","Negative"
"204","kek pildun 2022 paling bikin gagal move on","0","0","Neutral"
"205","update kakanya ronaldo bang nyindir2 pildun kemaren kata buruk","0","0","Neutral"
"206","ono wong lanang ga neng bal lalan ae wes aneh opo maneh gak nonton pildun","0","0","Neutral"
"207","ketua dpr argentina udah bikin twibon ucap selamat sukses juara pildun 2022 bom","0","0","Neutral"
"208","pildun kalah donk","0","0","Neutral"
"209","zidane cl cuma biji xavi iniesta ramos ga ada menangin bdo final pildun cuma 1x siapa respek sama capai cuma apa capai messi bdo lebih ucl pildun copa tetap perlu apresiasi","1","0","Neutral"
"210","allah liat chen baru inget belum luncur last scene","0.066666666666667","0","Neutral"
"211","klo bikin handball main musuh kotak pinalti diasndiri tangan aktif auto pinalti contoh final pildun kmarin lalu pinalti france dpt dr handballny montiel main argentina","0.55555555555556","0.11111111111111","Positive"
"212","iya tau sakit hati emang perih pernah ga lu laper tengah malem terus nemu mie telor akhir pas mie nya udah masak lu masukin telor nyata telor udah basi rasa kaya nonton final pildun lu all in prancis","1","0","Neutral"
"213","bisa balik pildun gk","0","0","Neutral"
"214","nonton pildun gk langsung fokus messi emi iya tau kok memang kipper tugas nangkep bola jaga gawang ada beda gtu dri si emi pokok bikin salfok emi","0","0","Neutral"
"215","jujur kaget nyata bagus ringan bibir harga murah tp sayang banget gk waterproof padahal warna nya bagus2","0","0","Neutral"
"216","anjir berdamage bngt pas pildun cwe pake jersey argentina","0","0","Neutral"
"217","jajan ce kalah taruh pas pildun","0","0","Neutral"
"218","bangunin bang kalo ronaldo udh dapet pildun","0","0","Neutral"
"219","hi bijimana kabar neymar loe pildun hapus wkkwkwkwkwk","0","0","Neutral"
"220","bisa gk avatar idupin anjir nang bnget metong","0","0","Neutral"
"221","argentina pildun juara soal klo hati cuman kamu juara nya wleowleowleo","0","0","Neutral"
"222","yth lu menang sisa laga semua sapu bersih udah bosen bangsat week pildun bully gara2 lo losstreak anjinggg","0","0","Neutral"
"223","buah caci maki langgan udah basi tuju langgan buat nonton pildun mana banyak liga libur januari premier league gimana nonton liga bri ogah","0","0","Neutral"
"224","apa salah bangga negara juara jg legend sepakbola argentina pensiun dini krn sakit jg kontribusi banyak buat timnas argentina liat pildun qatar doang yakin orang argentina bangga sm aguero orang indo kismin pd bacot","0","0","Neutral"
"225","ga ada pildun was","0","0","Neutral"
"226","kamu suka bola trus nonton pildun kemaren kamu kalo dengar nama messi kamu ingat yakin kamu ingat akuu","0","0","Neutral"
"227","jgn didenger yh zi gpp km istirahat aj hari psti cape abis konser trus nobar pildun tp besok km kudu wajib pake bgt showroom abis vc","0","0","Neutral"
"228","kwkwkwk jetlag abis semarang kwkwkw paksa aja turu kl malem istirahat cukup zoy ak jg akhirakhir krna pildun sii jd tiap udh mau jam 12 mlm ga ngantuk kwkkw zeeletter","0","0","Neutral"
"229","kya hampa bgt malem2 ga ada tonton pildun","0","0","Neutral"
"230","kalo obrol suami temen2nya isu argentina messi disetting jd juara pildun mngkin ada benernya krn klub taung messi punya kluarga al thani qatar sports investment","0","0","Neutral"
"231","prasaan ngetik brazil cm pas pildun aja buat ledekin cowo","0","0","Neutral"
"232","kok jadi nambah semangat idup semenjak messi juara pildun","0","0","Neutral"
"233","pele ga kali juara pildun cuy","0","0","Neutral"
"234","dulu kontrak serbet restoran kini messi jadi main baik pildun","0.33333333333333","0.16666666666667","Positive"
"235","kesi bagia epl blm mulai pildun beres malah jdi kaya gin","0","0","Neutral"
"236","gak cuma sistem nya suportr russia berani rusuh euro 2016 jadi hsot pildun 2018 gak berani rusuh berat hukum nya rusia","0","0","Neutral"
"237","dee gabung madrid iso wae dee capai luwih seko messi ronaldo pildun wes entok yoan","0","0","Neutral"
"238","mbappe dpt pildun lebih dulu","0","0","Neutral"
"239","justru nyesel harus mah soal jersey dipake pas menang pildun jadi otentik nnti mkin naik harga","0","0","Neutral"
"240","lagu pildun qatar habibi hababab","0","0","Neutral"
"241","biar bisa nnton pildun","0","0","Neutral"
"242","kalo pinter mainin bola udah ikut pildun kemarin","0","0","Neutral"
"243","nobar nobar final pildun jadi sama sama nobar sampe subuh hahahahah gokil gokillll","1","0","Neutral"
"244","bahagia tim hore moga kelak bahagia supporter sejati indonesia pildun","0","0","Neutral"
"245","nomer kok gak punya trophy pildun","0","0","Neutral"
"246","liat kayak pildun kelar stress gak punya coping mechanism terus join ca anime","0","0","Neutral"
